"BarcodeID","Region","Reach","RiverMile","Bank","Date","Collector","Weather","WindSpeed","Habitat","Sunset","TimeBegin","TimeElapsed","Battery","Bats","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","NotesField","NotesLab"
"L00023","GrandCanyon","CRLeesFerry",-0.20,"RB","06/15/2012","BaadeE","NoRain",0,"Rock","19:47","21:14",1.1,,0,0,0,,"MetcalfeA",,0.65,0,,,"Lees Ferry. Habitat: Gravel. Thermometer is questionable (far from accurate).","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00024","GrandCanyon","CRGrandCanyon",85.00,"LB","06/20/2012","BaadeE","NoRain",0,"Rock","19:49","19:50",1.17,,0,1,1,,"MetcalfeA",,,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00025","GrandCanyon","CRGrandCanyon",47.67,"RB","06/18/2012","BaadeE","NoRain",0,"Vegetation","19:48","20:18",1.2,,0,1,1,,"MetcalfeA",,0.6,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00026","GrandCanyon","CRGrandCanyon",53.53,"RB","08/05/2012","DyeB","NoRain",0,"Vegetation","19:29","20:04",0.98,,0,0,0,,"KortenhoevenE",,1.15,0,,,"DIM LIGHT- CHANGED BATTERIES AT 2027","Habitat originally recorded as 'Grasses-Forbes' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00027","GrandCanyon","CRGrandCanyon",76.12,"LB","08/06/2012","DyeB","NoRain",0,"Sand","19:28","20:03",1.05,,0,0,0,,"KortenhoevenE",,0.97,0,,,"RIVER GRAVELS AND SAND W/SMALL DRIFTWOOD AT WATER LINE","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00028","GrandCanyon","CRGrandCanyon",76.12,"LB","08/06/2012","DyeB","NoRain",0,"Vegetation","19:28","20:08",1.07,,0,1,1,,"KortenhoevenE",,1.12,0,,,"TAMARISK. 15' FROM TRAP","Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Grasses-Forbes' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00029","GrandCanyon","CRGrandCanyon",41.20,"RB","05/15/2012","BaadeE","NoRain",2,"Rock","19:28","20:00",1.33,,0,0,0,,"MetcalfeA",,0.07,0,,,"Buck Farm","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00030","GrandCanyon","CRGrandCanyon",29.50,"LB","05/14/2012","BaadeE","NoRain",0,"Rock","19:27","19:53",1.12,,0,1,1,,"MetcalfeA",,0.38,0,,,"cliff face","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00031","GrandCanyon","CRGrandCanyon",96.50,"LB","05/19/2012","BaadeE","NoRain",0,"Vegetation","19:31","19:32",1.47,,0,1,1,,"MetcalfeA",,2.32,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Full of white mold: (1/8/13). I switched out the alcohol, but there is still mold on spp. That will likely continue to grow…Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00032","GrandCanyon","CRGrandCanyon",96.50,"LB","05/19/2012","BaadeE","NoRain",0,"Sand","19:31","19:30",1.38,,0,0,0,,"MetcalfeA",,1.75,0,,,"""""""schist""""""","Strange Mold growing in sampleWeather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00033","GrandCanyon","CRGrandCanyon",23.50,"LB","08/04/2012","DyeB","NoRain",1,"Rock","19:30","19:51",1.03,,0,1,1,,"KortenhoevenE",,2.22,0,,,"NEARBY BRICKLEBUSH SHRUBS. LIGHT VARIABLE BREEZE BY CLOSING TIME.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00034","GrandCanyon","CRGrandCanyon",135.21,"LB","08/20/2012","DyeB","NoRain",0,"Sand","19:12","20:00",1,,0,0,0,,"KortenhoevenE",,0.75,0,,,"SAND WET AND VERY HUMID","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00035","GrandCanyon","CRGrandCanyon",131.76,"RB","08/19/2012","DyeB","NoRain",1,"Rock","19:13","19:48",1,,0,1,1,,"KortenhoevenE",,0.67,0,,,"ROCK/SAND- 50/50","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00036","GrandCanyon","CRGrandCanyon",135.21,"LB","08/20/2012","DyeB","NoRain",0,"Sand","19:12","20:04",1.02,,0,1,1,,"KortenhoevenE",,0.98,0,,,"SAND WET AND VERY HUMID","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00037","GrandCanyon","CRGrandCanyon",171.60,"RB","08/21/2012","DyeB","NoRain",1,"Rock","19:11","19:46",1.03,,0,0,0,,"KortenhoevenE",,0.7,0,,,"SAND WET AND VERY HUMID, NEARBY TAMARISK & SEEP WILLOW","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00038","GrandCanyon","CRGrandCanyon",23.55,"LB","08/16/2012","DyeB","NoRain",0,"Rock","19:17","19:39",1.08,,0,1,1,,"KortenhoevenE",,1.27,0,,,"BOULDERS, BRICKLEBUSH AND TAMARISK TREE 3M DOWN SLOPE. LAMP WEAK AT CLOSING. ","Sample placed at 45,000 cfs water line, instead of daily high water. Flagged strange bc of weak lamp note (2018-05-25 TK). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00039","GrandCanyon","CRGrandCanyon",53.46,"RB","08/17/2012","DyeB","NoRain",1,"Vegetation","19:16","19:33",1,,0,0,0,,"KortenhoevenE",,0.75,0,,,"VARIABLE LIGHT BREEZE","Habitat originally recorded as 'Grasses-Forbes' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00040","GrandCanyon","CRGrandCanyon",171.60,"RB","08/21/2012","DyeB","NoRain",1,"Sand","19:11","19:50",1.02,,0,1,1,,"KortenhoevenE",,1.1,0,,,"SAND WET AND VERY HUMID. ~40% OF AREA IS ROCKS. NEARBY SHRUBS: BROOM BACCHAIS, ARROWEED, CHUCKALALAM DELIGHT","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00041","GrandCanyon","CRGrandCanyon",91.74,"RB","08/18/2012","DyeB","NoRain",1,"Sand","19:15","19:48",1.02,,0,1,1,,"KortenhoevenE",,1.57,0,,,"SCHIST BEDROCK BEHIND TRAP W/ BRITTLEBUSH & WINE LETTUCE NEARBY","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00042","GrandCanyon","CRGrandCanyon",53.46,"RB","08/17/2012","DyeB","Rain",1,"Rock","19:16","19:39",1,,0,1,1,,"KortenhoevenE",,0.6,0,,,"ON SAND WITH BOULDERS BEHIND AND SAND AND ARROWEED ON RIVER W/ A FEW BOULDERS. 10 MIN. OF LIGHT RAIN MIDWAY THROUGH TIME. ","Sample placed at 45,000 cfs water line, instead of daily high water. Changed weather from Cloudy to Rain based on note about rain (2018-05-25 TK)."
"L00043","GrandCanyon","CRGrandCanyon",23.55,"LB","08/16/2012","DyeB","NoRain",0,"Sand","19:17","19:36",0.98,,0,0,0,,"KortenhoevenE",,0.77,0,,,"TRAP 1/2 ON SAND & 1/2 ON DRIFTWOOD.","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00044","GrandCanyon","CRGrandCanyon",91.74,"RB","08/18/2012","DyeB","NoRain",1,"Sand","19:15","19:43",1.02,,0,0,0,,"KortenhoevenE",,1.03,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00045","GrandCanyon","CRGrandCanyon",131.76,"RB","08/19/2012","DyeB","NoRain",1,"Sand","19:13","19:45",1.02,,0,0,0,,"KortenhoevenE",,0.25,0,,,,"Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00046","GrandCanyon","CRGrandCanyon",221.56,"RB","09/06/2012","DyeB","NoRain",0,"Sand","18:49","19:42",1,,0,1,1,,"KortenhoevenE",,1.07,0,,,"MOSTLY SUNNY DAY.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00047","GrandCanyon","CRGrandCanyon",199.00,"RB","05/25/2012","BaadeE","NoRain",2,,"19:35","19:40",1.22,,0,1,1,,"MetcalfeA",,0.05,0,,,"Wind blew trap over 40+/? Gusts. Seem windy.  Rest traps w/rocks to weigh them down.  Very few bugs in traps.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM).
BDH: habitat type not recorded on data sheet"
"L00048","GrandCanyon","CRGrandCanyon",176.33,"LB","09/05/2012","DyeB","NoRain",0,"Rock","18:50","19:22",1,,0,0,0,,"KortenhoevenE",,1.1,0,,,"RIVER GRAVEL/ COBBLES NEAR SHORE. SKY CLEAR BY CLOSING","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00049","GrandCanyon","CRGrandCanyon",52.10,"RB","05/16/2012","BaadeE","NoRain",0,"Sand","19:28","20:30",1.28,,0,0,0,,"MetcalfeA",,2.25,0,,,,"Chironomids were not logged on data sheet. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00050","GrandCanyon","CRGrandCanyon",44.50,"LB","04/23/2012","BaadeE","NoRain",0,"Vegetation","19:09","19:17",1.03,,0,1,1,,"MetcalfeA",,4,0,,,"willows","Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00051","GrandCanyon","CRGrandCanyon",137.60,"LB","09/04/2012","DyeB","NoRain",0,"Sand","18:52","19:27",0.98,,0,1,1,,"KortenhoevenE",,0.8,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00052","GrandCanyon","CRGrandCanyon",221.56,"RB","09/06/2012","DyeB","NoRain",0,"Sand","18:49","19:37",0.88,,0,0,0,,"MetcalfeA",,1.35,0,,,,"Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00053","GrandCanyon","CRGrandCanyon",109.02,"RB","09/03/2012","DyeB","NoRain",1,"Sand","18:53","20:12",1.03,,0,1,1,,"KortenhoevenE",,1.92,0,,,"~45% of area is schist bedrock. Brittlebush & wire lettuce. Cloudy w? Tamarisk nearby. Lamp weak at closing.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00054","GrandCanyon","CRGrandCanyon",137.60,"LB","09/04/2012","DyeB","NoRain",0,"Rock","18:52","19:23",0.95,,0,0,0,,"KortenhoevenE",,0.35,0,,,,"Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00055","GrandCanyon","CRGrandCanyon",109.02,"RB","09/03/2012","DyeB","NoRain",1,"Sand","18:53","20:12",1.03,,0,1,0,,"KortenhoevenE",,1.05,0,,,"LAMP WEAK @ CLOSING.","Flagged strange based on note about weak lamp (2018-05-25 TK). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00056","GrandCanyon","CRGrandCanyon",75.49,"LB","09/02/2012","DyeB","NoRain",1,"Rock","18:55","19:21",1.03,,0,1,1,,"KortenhoevenE",,0.65,0,,,"WIND BLOWING OFF HILLSIDE. CALM BY CLOSING. MOSTLY CLEAR SKY BY CLOSING","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00057","GrandCanyon","CRGrandCanyon",50.14,"RB","09/01/2012","DyeB","NoRain",2,"Vegetation","18:56","19:30",1.1,,0,1,1,,"KortenhoevenE",,1.6,0,,,"33.3% SAND, 33.3% GRASS (BUNCH), 33.3% WILLOW (COYOTE). ","Sample placed at 45,000 cfs water line, instead of daily high water. Habitat was blank, changed to Grasses-Forbes based on notes (2018-05-25 TK). Habitat originally recorded as 'Grasses-Forbes' (2018-09-27 JDM). Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00058","GrandCanyon","CRGrandCanyon",53.18,"RB","09/16/2012","DyeB","NoRain",1,"Rock","18:34","19:06",1.05,,0,1,1,,"KortenhoevenE",,0.75,0,,,"GUSTING TO ~8-10 MPH ON BEACH FRONT","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00059","GrandCanyon","CRGrandCanyon",50.14,"RB","09/01/2012","DyeB","NoRain",2,"Rock","18:56","19:27",1.07,,0,0,0,,"KortenhoevenE",,0.72,0,,,"CHANGED BATTERIES @ 19:51","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00060","GrandCanyon","CRGrandCanyon",20.70,"RB","08/31/2012","DyeB","NoRain",0,"Rock","18:57","19:43",1,,0,1,1,,"KortenhoevenE",,0.32,0,,,"BRICKLEBUSH NEARBY. MOSTLY CLEAR BY CLOSING","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00061","GrandCanyon","CRGrandCanyon",176.33,"LB","09/05/2012","DyeB","NoRain",0,"Sand","18:50","19:26",0.98,,0,1,1,,"KortenhoevenE",,3.33,0,,,"CLEAR BY CLOSING.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
"L00062","GrandCanyon","CRGrandCanyon",23.52,"LB","09/15/2012","DyeB","NoRain",0,"Rock","18:36","19:03",1.02,,0,0,0,,"MetcalfeA",,2.22,0,,,"CHANGED BATTERIES @19:12. LIGHT DOWNSTREAM DRAFT BY CLOSING.","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00063","GrandCanyon","CRGrandCanyon",221.58,"RB","09/21/2012","DyeB","NoRain",0,"Sand","18:27","19:14",1.07,,0,0,0,,"MetcalfeA",,0.78,0,,,"HORSETAILS, BEHIND WITH BACCHARUS & TAMARISK OVERHEAD.","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00064","GrandCanyon","CRGrandCanyon",76.17,"LB","09/17/2012","DyeB","NoRain",0,"Sand","18:33","19:06",1.02,,0,1,1,,"KortenhoevenE",,1.72,0,,,"~40% OF THE AREA IS ARROWEED.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00065","GrandCanyon","CRGrandCanyon",120.82,"LB","09/18/2012","DyeB","NoRain",0,"Sand","18:31","19:22",0.95,,0,1,1,,"MetcalfeA",,5.42,0,,,"OVER-ARCHING TAMARISK BUSHES","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00066","GrandCanyon","CRGrandCanyon",76.17,"LB","09/17/2012","DyeB","NoRain",0,"Sand","18:33","19:02",1.03,,0,0,0,,"KortenhoevenE",,0.58,0,,,"DOWNRIVER DRAFT THE LAST 5 MINUTES OF SAMPLING","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00067","GrandCanyon","CRGrandCanyon",53.18,"RB","09/16/2012","DyeB","NoRain",1,"Sand","18:34","19:02",1.03,,0,0,0,,"KortenhoevenE",,0.08,0,,,"GUSTING TO ~8-10 MPH ON BEACH FRONT.","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00068","GrandCanyon","CRGrandCanyon",176.35,"LB","09/20/2012","DyeB","NoRain",0,"Rock","18:28","19:04",1.03,,0,1,1,,"KortenhoevenE",,2.53,0,,,"very gentle draft (variable, <1mph)","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00069","GrandCanyon","CRGrandCanyon",120.82,"LB","09/18/2012","DyeB","NoRain",0,"Sand","18:31","19:14",1.03,,0,0,0,,"KortenhoevenE",,1.47,0,,,"BATTERIES CHANGED AT 19:26","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00070","GrandCanyon","CRGrandCanyon",221.58,"RB","09/21/2012","DyeB","NoRain",0,"Vegetation","18:27","19:17",1.05,,0,1,1,,"MetcalfeA",,2.13,0,,,"ARROWEED, SOME BERMUDA GRASS, TALL BUNCHGRASS, JIMMY WEED.","Sample placed at 45,000 cfs water line, instead of daily high water. Habitat originally recorded as 'Trees-Shrubs' (2018-09-27 JDM). Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00071","GrandCanyon","CRGrandCanyon",20.70,"RB","08/31/2012","DyeB","NoRain",0,"Sand","18:57","19:41",1,,0,0,0,,"MetcalfeA",,0.1,0,,,"RAINED BEFORE SAMPLE DEPLOYED","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00072","GrandCanyon","CRGrandCanyon",75.49,"LB","09/02/2012","DyeB","NoRain",1,"Sand","18:55","19:19",0.98,,0,0,0,,"MetcalfeA",,0.37,0,,,"ADJACENT TO BEDROCK OUTCROP. WIND BLOWING OFF HILLSIDE.","Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00073","GrandCanyon","CRGrandCanyon",23.52,"LB","09/15/2012","DyeB","NoRain",0,"Rock","18:36","19:07",1.03,,0,1,1,,"MetcalfeA",,3.1,0,,,"LIGHT DOWNSTREAM DRAFT BY CLOSING.","Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00074","GrandCanyon","CRGrandCanyon",176.35,"LB","09/20/2012","DyeB","NoRain",0,"Sand","18:28","19:01",1.05,,0,0,0,,"MetcalfeA",,2.92,0,,,"VERY GENTLE DRAFT (VARIABLE <1MPH)","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00075","GrandCanyon","CRGrandCanyon",29.50,"LB","05/14/2012","BaadeE","NoRain",0,"Sand","19:27","19:50",1.15,,0,0,0,,"MetcalfeA",,0.72,0,,,"silver glotto [sic]","Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00076","GrandCanyon","CRGrandCanyon",40.10,"LB","09/18/2012","Foodbase","NoRain",0,"Sand","18:31","19:15",1,,0,1,1,,"MetcalfeA",,0.55,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00077","GrandCanyon","CRGrandCanyon",160.00,"RB","09/01/2012","MackayW","NoRain",1,"Sand","18:56","19:00",1,,0,0,0,,"MetcalfeA",,0.4,0,,,,"Weather originally recorded as 'Cloudy' (2018-09-27 JDM). "
"L00078","GrandCanyon","CRGrandCanyon",187.40,"LB","09/17/2012","MackayW","NoRain",0,"Sand","18:33","19:45",1.25,,0,0,0,,"MetcalfeA",,0.87,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00079","GrandCanyon","CRGrandCanyon",250.00,"RB","09/03/2012","MackayW","NoRain",0,"Sand","18:53","20:10",1,,0,0,0,,"MetcalfeA",,0.82,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00080","GrandCanyon","CRGrandCanyon",187.40,"LB","09/17/2012","MackayW","NoRain",0,"Rock","18:33","19:45",1.25,,0,1,1,,"MetcalfeA",,1.75,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Clear' (2018-09-27 JDM)."
"L00081","GrandCanyon","CRGrandCanyon",40.10,"LB","09/18/2012","Foodbase","NoRain",0,"Sand","18:31","19:15",1,,0,0,0,,"KortenhoevenE",,0.33,0,,,,"Weather originally recorded as 'Clear' (2018-09-27 JDM). "
"L00082","GrandCanyon","CRGrandCanyon",160.00,"RB","09/01/2012","MackayW","NoRain",1,"Rock","18:56","19:00",1,,0,1,1,,"KortenhoevenE",,0.82,0,,,,"Sample placed at 45,000 cfs water line, instead of daily high water. Weather originally recorded as 'Cloudy' (2018-09-27 JDM)."
